"Catégorie
 de contrôle","Organismes contrôlés","Modalités de contrôle","Dépt.","Ville","Pays","Activité
 de l'organisme",""
"RGPD","WEWARD","sur audition","75","PARIS","FRANCE","Commerce",""
"RGPD","PARTI SOCIALISTE","en ligne","94","IVRY-SUR-SEINE","FRANCE","Activités politiques",""
"RGPD","FÉDÉRATION DE PARIS DU PARTI SOCIALISTE","en ligne","75","PARIS","FRANCE","Activités politiques",""
"RGPD","COMMUNE DE SAINT-AVOLD","sur pièces","57","SAINT-AVOLD","FRANCE","Collectivités territoriales",""
"RGPD","HOPPS GROUP","sur place","13","AIX-EN-PROVENCE","FRANCE","Commerce",""
"RGPD","HOPPS GROUP","sur place","13","AIX-EN-PROVENCE","FRANCE","Commerce",""
"RGPD","TIKTOK","en ligne","75","PARIS","FRANCE","Télécommunications",""
"RGPD","FINTECTURE","en ligne","94","SAINT-MANDÉ","FRANCE","Banque",""
"RGPD","FINTECTURE","sur pièces","94","SAINT-MANDÉ","FRANCE","Banque",""
"RGPD","OFFISANTÉ","sur place","75","PARIS","FRANCE","Santé ",""
"RGPD","UNIBAIL - RODAMCO - WESTFIELD","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","INSTITUT NATIONAL DE LA SANTÉ ET DE LA RECHERCHE MÉDICALE","sur place","75","PARIS","FRANCE","Santé ",""
"RGPD","DOW JONES & COMPANY, INC.
(FACTIVA LIMITED)","sur pièces","","LONDRES","ROYAUME-UNI","Commerce",""
"RGPD","DIGITAL MEDICAL SUPPLY FRANCE","en ligne","75","PARIS","FRANCE","Santé ",""
"RGPD","DIGITAL MEDICAL SUPPLY FRANCE","sur pièces","75","PARIS","FRANCE","Santé ",""
"RGPD","KASPR","sur audition","75","PARIS","FRANCE","Commerce",""
"RGPD","NEWLAND","en ligne","78","LE VESINET","FRANCE","Commerce",""
"RGPD","CITYA IMMOBILIER","en ligne","37","TOURS","FRANCE","Immobilier",""
"RGPD","CITYA IMMOBILIER","sur place","37","TOURS","FRANCE","Immobilier",""
"RGPD","COTE ENERGY","en ligne","93","AUBERVILLIERS","FRANCE","Énergie",""
"RGPD","COTE ENERGY","sur audition","93","AUBERVILLIERS","FRANCE","Énergie",""
"RGPD","AWIN SAS","sur place","75","PARIS","FRANCE","Commerce",""
"RGPD","EXOLIS","sur place","13","MARSEILLE","FRANCE","Santé ",""
"RGPD","LGHA AUTO","en ligne","92","NEUILLY-SUR-SEINE","FRANCE","Commerce",""
"RGPD","LGHA AUTO","sur place","92","NEUILLY-SUR-SEINE","FRANCE","Commerce",""
"RGPD","WEBRIVAGE","sur place","13","ROUSSET","FRANCE","Commerce",""
