"Type de
contrôle","Modalité de contrôle","Organismes","Dép.","Lieu","Secteur d'activité"
"RGPD/
DIRECTIVE police justice","sur place","RATP","75","PARIS","Santé/social"
"RGPD/
DIRECTIVE police justice","sur place","SAINT LOUIS AMBULANCE","75","PARIS","Santé "
"RGPD/
DIRECTIVE police justice","sur place","SAMUSOCIAL","75","PARIS","Associatif"
"RGPD/
DIRECTIVE police justice","sur place","SCP GMBG","13","MARSEILLE","Santé/social"
"RGPD/
DIRECTIVE police justice","sur place","SELARL N.S ET ASSOCIES","77","SERRIS","Santé/social"
"RGPD/
DIRECTIVE police justice","sur place","SNCF","75","PARIS","Transports"
"RGPD/
DIRECTIVE police justice","sur place","SOCIETE ADREXO","13","AIX-EN-PROVENCE","Travail"
"RGPD/
DIRECTIVE police justice","sur place","SYNDICAT FORCE OUVRIERE","75","PARIS","Presse"
"RGPD/
DIRECTIVE police justice","sur place","TGI DE NICE","6","NICE","Régalien"
"RGPD/
DIRECTIVE police justice","sur place","TIDJAY","69","LYON","Travail"
"RGPD/
DIRECTIVE police justice","sur place","UNILEVER FRANCE","92","RUEIL-MALMAISON","Travail"
"RGPD/
DIRECTIVE police justice","sur place","UNILEVER FRANCE   ","92","RUEIL-MALMAISON","Travail"
"RGPD/
DIRECTIVE police justice","sur place","UNIONTRAD COMPANY","75","PARIS","Commerce"
"RGPD/
DIRECTIVE police justice","sur place","UNITE DE COORDINATION DE LA LUTTE ANTITERRORISTE","75","PARIS","Régalien"
"RGPD/
DIRECTIVE police justice","sur place","UNITE DE COORDINATION DE LA LUTTE ANTITERRORISTE","75","PARIS","Régalien"
"RGPD/
DIRECTIVE police justice","sur pièces","3D OUEST","22","LANNION","Régalien"
"RGPD/
DIRECTIVE police justice","sur pièces","ARPEGE","44","SAINT-SEBASTIEN-SUR-LOIRE","Régalien"
"RGPD/
DIRECTIVE police justice","sur pièces","ASPERIENCE","61","DAMIGNY","Commerce"
"RGPD/
DIRECTIVE police justice","sur pièces","DOCAPOST","94","CHARENTON-LE-PONT","Commerce"
"RGPD/
DIRECTIVE police justice","sur pièces","KLEE GROUP","92","LE PLESSIS-ROBINSON","Commerce"
"RGPD/
DIRECTIVE police justice","sur pièces","LABORATOIRE D'ANALYSES MEDICALES BIOPATH","75","PARIS","Santé "
"RGPD/
DIRECTIVE police justice","sur pièces","LABORATOIRE DE BIOLOGIE MEDICALE - DIGUE CERBALLIANCE","75","PARIS","Santé "
"RGPD/
DIRECTIVE police justice","sur pièces","LABORATOIRE DE FRANCE","75","PARIS","Santé "
"RGPD/
DIRECTIVE police justice","sur pièces","LABORATOIRE EURABIO","75","PARIS","Santé "
